Кефир, Перу, 2 тонны, 1250000 рублей
Суповой набор мясной, Китай, 15 тонн, 14850000 рублей
Сыр, США, 50 тонн, 7050000 рублей
Кошачий корм, США, 30 тонн, 7050000 рублей
Стручковая фасоль, США, 10 тонн, 12340000 рублей
Морковь, США, 30 тонн, 1000000 рублей
Масло сливочное, Австралия, 15 тонн, 1250000 рублей
Рыбная консерва, США, 10 тонн, 12340000 рублей
Рыбная консерва, Австрия, 20 тонн, 500000 рублей
Петрушка, Аргентина, 20 тонн, 7050000 рублей
рыба, Германия, 10 тонн, 1250000 рублей
Кефир, Аргентина, 2 тонны, 1250000 рублей
Суповой набор мясной, Китай, 1 тонна, 12340000 рублей
Сметана, Аргентина, 50 тонн, 1000000 рублей
Горчица, Перу, 10 тонн, 12340000 рублей
Детское питание 7 банок, Австралия, 1 тонна, 14850000 рублей
яблоки, Аргентина, 50 тонн, 1250000 рублей
Суповой набор мясной, Австралия, 30 тонн, 1250000 рублей
Сахар коричневый, Венгрия, 50 тонн, 7050000 рублей
Консервированный горошек, Перу, 15 тонн, 14850000 рублей
Масло растительное, Австрия, 5 тонн, 12340000 рублей
Сгущенка, Австралия, 20 тонн, 500000 рублей
груши, Австралия, 2 тонны, 14850000 рублей
Суповой набор куриный, Венгрия, 15 тонн, 1250000 рублей
Консервированная кукуруза, США, 2 тонны, 500000 рублей
Сгущенка, США, 5 тонн, 14850000 рублей
Масло сливочное, Австралия, 30 тонн, 7050000 рублей
шоколад, Австрия, 5 тонн, 500000 рублей
хлеб, Китай, 20 тонн, 12340000 рублей
