Морковь, Китай, 5 тонн, 7050000 рублей
Баллончик со сливками, Венгрия, 10 тонн, 14850000 рублей
Морковь, Аргентина, 2 тонны, 500000 рублей
Молоко детское, США, 2 тонны, 1250000 рублей
Масло растительное, Венгрия, 5 тонн, 1250000 рублей
Чеснок, Германия, 1 тонна, 500000 рублей
Стручковая фасоль, Китай, 2 тонны, 7050000 рублей
Масло сливочное, Китай, 10 тонн, 1000000 рублей
Сгущенка, Австралия, 1 тонна, 7050000 рублей
Картофель, Аргентина, 15 тонн, 500000 рублей
Молоко детское, Китай, 50 тонн, 12340000 рублей
Картофель, Перу, 1 тонна, 500000 рублей
зерно, Китай, 15 тонн, 14850000 рублей
Сахар коричневый, Германия, 10 тонн, 12340000 рублей
Масло сливочное, Перу, 10 тонн, 1250000 рублей
зерно, Австрия, 5 тонн, 7050000 рублей
Малиновое варенье, Аргентина, 2 тонны, 14850000 рублей
Чеснок, Австралия, 30 тонн, 7050000 рублей
Масло сливочное, США, 30 тонн, 12340000 рублей
Фрикадельки (домашний полуфабрикат), США, 15 тонн, 1250000 рублей
Консервированный горошек, Австрия, 20 тонн, 500000 рублей
Томатная паста, Германия, 30 тонн, 7050000 рублей
Консервированный горошек, Австрия, 50 тонн, 1250000 рублей
Лимон, Германия, 5 тонн, 1000000 рублей
Консервированная кукуруза, Перу, 20 тонн, 500000 рублей
Картофель, Австрия, 2 тонны, 1250000 рублей
Чеснок, США, 20 тонн, 1000000 рублей
Чеснок, Аргентина, 1 тонна, 7050000 рублей
Картофель, США, 5 тонн, 12340000 рублей
Лимон, Китай, 20 тонн, 1000000 рублей
Малиновое варенье, Перу, 10 тонн, 500000 рублей
груши, Австрия, 15 тонн, 12340000 рублей
Сгущенка, Китай, 10 тонн, 7050000 рублей
Картофель, Аргентина, 15 тонн, 12340000 рублей
Лимон, Перу, 5 тонн, 12340000 рублей
Сгущенка, Венгрия, 1 тонна, 500000 рублей
Лимон, Австрия, 5 тонн, 14850000 рублей
Кошачий корм, Аргентина, 30 тонн, 1000000 рублей
Лимон, Аргентина, 10 тонн, 12340000 рублей
Масло сливочное, Германия, 1 тонна, 14850000 рублей
масло, Германия, 1 тонна, 1250000 рублей
Малиновое варенье, США, 5 тонн, 1000000 рублей
Картофель, США, 10 тонн, 14850000 рублей
Чеснок, Перу, 5 тонн, 500000 рублей
Панировочные сухари, Австрия, 15 тонн, 1000000 рублей
Лимон, Австрия, 10 тонн, 7050000 рублей
Молоко детское, США, 5 тонн, 7050000 рублей
Суповой набор куриный, Аргентина, 30 тонн, 14850000 рублей
Петрушка, Германия, 10 тонн, 1250000 рублей
Творог, Перу, 10 тонн, 1000000 рублей
Петрушка, Венгрия, 20 тонн, 14850000 рублей
Масло растительное, Аргентина, 20 тонн, 14850000 рублей
Горчица, Германия, 50 тонн, 14850000 рублей
Суповой набор куриный, США, 15 тонн, 12340000 рублей
Сметана, Венгрия, 30 тонн, 500000 рублей
Стручковая фасоль, Перу, 20 тонн, 500000 рублей
Стручковая фасоль, Китай, 50 тонн, 1250000 рублей
яблоки, Австралия, 1 тонна, 7050000 рублей
Сметана, Перу, 2 тонны, 14850000 рублей
Панировочные сухари, Германия, 2 тонны, 1000000 рублей
Масло растительное, Венгрия, 2 тонны, 14850000 рублей
Чеснок, Венгрия, 2 тонны, 1250000 рублей
хлеб, Австралия, 10 тонн, 1000000 рублей
Томатная паста, Венгрия, 50 тонн, 1250000 рублей
Сметана, США, 50 тонн, 7050000 рублей
Консервированный горошек, Германия, 2 тонны, 1250000 рублей
зерно, Аргентина, 20 тонн, 12340000 рублей
Молоко детское, Китай, 50 тонн, 1000000 рублей
Суповой набор мясной, Перу, 20 тонн, 7050000 рублей
Баллончик со сливками, Перу, 2 тонны, 1000000 рублей
Фрикадельки (домашний полуфабрикат), США, 15 тонн, 1000000 рублей
Кошачий корм, Перу, 30 тонн, 1250000 рублей
масло, Китай, 50 тонн, 7050000 рублей
шоколад, Германия, 20 тонн, 12340000 рублей
Кошачий корм, Перу, 1 тонна, 500000 рублей
Петрушка, Перу, 30 тонн, 1000000 рублей
зерно, Австралия, 1 тонна, 7050000 рублей
Рыбная консерва, Австрия, 2 тонны, 1000000 рублей
Сыр, Венгрия, 2 тонны, 7050000 рублей
Стручковая фасоль, Австралия, 50 тонн, 1250000 рублей
Фрикадельки (домашний полуфабрикат), Перу, 30 тонн, 12340000 рублей
Рыбная консерва, Китай, 30 тонн, 12340000 рублей
Малиновое варенье, Венгрия, 30 тонн, 500000 рублей
Сметана, Перу, 2 тонны, 1250000 рублей
Суповой набор мясной, Венгрия, 2 тонны, 1250000 рублей
Молоко детское, Австрия, 20 тонн, 14850000 рублей
Масло сливочное, США, 15 тонн, 1000000 рублей
Горчица, Китай, 30 тонн, 1250000 рублей
Панировочные сухари, Германия, 15 тонн, 500000 рублей
Томатная паста, Китай, 5 тонн, 500000 рублей
Консервированный горошек, Аргентина, 30 тонн, 1000000 рублей
Кошачий корм, Китай, 2 тонны, 7050000 рублей
Масло растительное, Аргентина, 10 тонн, 1000000 рублей
Кефир, Аргентина, 50 тонн, 14850000 рублей
хлеб, Аргентина, 10 тонн, 7050000 рублей
груши, Венгрия, 2 тонны, 7050000 рублей
хлеб, Аргентина, 20 тонн, 500000 рублей
Консервированный горошек, Китай, 2 тонны, 14850000 рублей
Курица (бедра или окорочка), Китай, 1 тонна, 14850000 рублей
Масло сливочное, Венгрия, 2 тонны, 7050000 рублей
Консервированный горошек, Китай, 15 тонн, 500000 рублей
Лимон, Австрия, 10 тонн, 14850000 рублей
Петрушка, Австралия, 2 тонны, 1250000 рублей
Петрушка, Перу, 20 тонн, 12340000 рублей
Детское питание 7 банок, Аргентина, 15 тонн, 1250000 рублей
Рыбная консерва, США, 15 тонн, 7050000 рублей
масло, Перу, 5 тонн, 1000000 рублей
Котлеты (домашний полуфабрикат), Австралия, 2 тонны, 500000 рублей
Томатная паста, США, 50 тонн, 12340000 рублей
груши, Австралия, 50 тонн, 500000 рублей
Детское питание 7 банок, Венгрия, 30 тонн, 12340000 рублей
шоколад, Австралия, 1 тонна, 500000 рублей
Сгущенка, Перу, 10 тонн, 12340000 рублей
Консервированная кукуруза, Венгрия, 2 тонны, 12340000 рублей
Стручковая фасоль, США, 50 тонн, 1250000 рублей
Сгущенка, Австрия, 50 тонн, 14850000 рублей
Чеснок, Перу, 15 тонн, 1250000 рублей
масло, Венгрия, 1 тонна, 1000000 рублей
Панировочные сухари, Германия, 10 тонн, 12340000 рублей
груши, Австралия, 50 тонн, 7050000 рублей
Молоко детское, Австрия, 20 тонн, 500000 рублей
Суповой набор куриный, Аргентина, 1 тонна, 1250000 рублей
Лимон, Германия, 2 тонны, 14850000 рублей
Чеснок, Перу, 2 тонны, 500000 рублей
хлеб, Перу, 10 тонн, 1250000 рублей
рыба, США, 10 тонн, 12340000 рублей
яблоки, Австрия, 10 тонн, 14850000 рублей
шоколад, Австрия, 2 тонны, 7050000 рублей
Консервированная кукуруза, Германия, 50 тонн, 1000000 рублей
Творог, Аргентина, 30 тонн, 500000 рублей
Детское питание 7 банок, Австрия, 2 тонны, 12340000 рублей
Молоко детское, Австрия, 30 тонн, 14850000 рублей
Малиновое варенье, Австрия, 15 тонн, 1000000 рублей
Кефир, Китай, 1 тонна, 1250000 рублей
Суповой набор мясной, Перу, 20 тонн, 500000 рублей
Творог, США, 30 тонн, 1000000 рублей
Кошачий корм, Перу, 2 тонны, 1000000 рублей
Рыбная консерва, Китай, 20 тонн, 500000 рублей
Котлеты (домашний полуфабрикат), Перу, 1 тонна, 7050000 рублей
Фрикадельки (домашний полуфабрикат), Австрия, 1 тонна, 7050000 рублей
масло, Перу, 10 тонн, 14850000 рублей
Стручковая фасоль, Германия, 10 тонн, 1000000 рублей
Морковь, Перу, 15 тонн, 1000000 рублей
шоколад, Китай, 2 тонны, 1000000 рублей
Томатная паста, Австрия, 10 тонн, 12340000 рублей
Кошачий корм, Германия, 2 тонны, 12340000 рублей
Кошачий корм, Перу, 5 тонн, 1250000 рублей
Суповой набор мясной, США, 1 тонна, 14850000 рублей
шоколад, Аргентина, 30 тонн, 7050000 рублей
Панировочные сухари, США, 10 тонн, 7050000 рублей
Сыр, Австралия, 10 тонн, 14850000 рублей
Рыбная консерва, Венгрия, 5 тонн, 7050000 рублей
Молоко детское, Австрия, 50 тонн, 1000000 рублей
рыба, Китай, 10 тонн, 14850000 рублей
Детское питание 7 банок, Австрия, 10 тонн, 12340000 рублей
Петрушка, Венгрия, 5 тонн, 12340000 рублей
Малиновое варенье, Германия, 2 тонны, 1000000 рублей
Суповой набор мясной, Китай, 1 тонна, 1000000 рублей
Сахар коричневый, Германия, 50 тонн, 500000 рублей
Морковь, США, 30 тонн, 1250000 рублей
Детское питание 7 банок, Аргентина, 20 тонн, 1000000 рублей
Томатная паста, Австрия, 5 тонн, 500000 рублей
зерно, Китай, 20 тонн, 14850000 рублей
Консервированный горошек, Австрия, 15 тонн, 14850000 рублей
груши, США, 50 тонн, 1000000 рублей
Молоко детское, Австралия, 10 тонн, 12340000 рублей
Кошачий корм, Аргентина, 2 тонны, 500000 рублей
Курица (бедра или окорочка), Китай, 50 тонн, 14850000 рублей
Петрушка, Китай, 15 тонн, 1000000 рублей
Сметана, Перу, 50 тонн, 1250000 рублей
рыба, Австралия, 10 тонн, 12340000 рублей
груши, Австрия, 10 тонн, 1250000 рублей
Сахар коричневый, Германия, 2 тонны, 12340000 рублей
зерно, Австралия, 10 тонн, 12340000 рублей
шоколад, Перу, 1 тонна, 1250000 рублей
Сахар коричневый, США, 2 тонны, 500000 рублей
Курица (бедра или окорочка), Венгрия, 5 тонн, 12340000 рублей
зерно, Австралия, 30 тонн, 1250000 рублей
Картофель, Германия, 10 тонн, 12340000 рублей
Петрушка, Венгрия, 2 тонны, 1250000 рублей
Малиновое варенье, Германия, 30 тонн, 500000 рублей
Детское питание 7 банок, Австралия, 5 тонн, 14850000 рублей
Горчица, Германия, 5 тонн, 7050000 рублей
Стручковая фасоль, Аргентина, 5 тонн, 12340000 рублей
Сахар коричневый, Перу, 10 тонн, 1000000 рублей
Томатная паста, Аргентина, 15 тонн, 14850000 рублей
Лимон, Австралия, 20 тонн, 12340000 рублей
Масло сливочное, Аргентина, 30 тонн, 500000 рублей
яблоки, Аргентина, 2 тонны, 7050000 рублей
Лимон, Австралия, 10 тонн, 7050000 рублей
Рыбная консерва, Венгрия, 10 тонн, 500000 рублей
груши, Китай, 15 тонн, 1000000 рублей
Картофель, Аргентина, 30 тонн, 500000 рублей
Кефир, Германия, 2 тонны, 1000000 рублей
Консервированная кукуруза, Германия, 5 тонн, 1250000 рублей
Кошачий корм, Китай, 1 тонна, 7050000 рублей
Горчица, Аргентина, 50 тонн, 7050000 рублей
Малиновое варенье, США, 15 тонн, 12340000 рублей
рыба, Австралия, 2 тонны, 500000 рублей
Чеснок, Венгрия, 20 тонн, 500000 рублей
груши, Перу, 20 тонн, 12340000 рублей
Малиновое варенье, Германия, 15 тонн, 500000 рублей
Суповой набор мясной, Германия, 10 тонн, 14850000 рублей
Консервированная кукуруза, Аргентина, 30 тонн, 1250000 рублей
Кефир, Австралия, 2 тонны, 12340000 рублей
Морковь, Китай, 5 тонн, 7050000 рублей
Курица (бедра или окорочка), Венгрия, 20 тонн, 12340000 рублей
Консервированная кукуруза, Венгрия, 5 тонн, 1000000 рублей
Детское питание 7 банок, Аргентина, 50 тонн, 14850000 рублей
Суповой набор куриный, США, 30 тонн, 14850000 рублей
яблоки, Аргентина, 1 тонна, 14850000 рублей
Масло сливочное, Австрия, 50 тонн, 1000000 рублей
Масло сливочное, Австралия, 5 тонн, 500000 рублей
зерно, Аргентина, 50 тонн, 7050000 рублей
Петрушка, США, 1 тонна, 12340000 рублей
масло, Венгрия, 1 тонна, 1000000 рублей
шоколад, Австрия, 10 тонн, 1250000 рублей
Суповой набор куриный, Венгрия, 1 тонна, 1000000 рублей
зерно, Австралия, 50 тонн, 7050000 рублей
Малиновое варенье, Австралия, 20 тонн, 12340000 рублей
Фрикадельки (домашний полуфабрикат), Китай, 15 тонн, 1250000 рублей
Суповой набор куриный, Перу, 20 тонн, 12340000 рублей
хлеб, Германия, 30 тонн, 1000000 рублей
зерно, Германия, 2 тонны, 7050000 рублей
хлеб, Перу, 50 тонн, 7050000 рублей
Молоко детское, Германия, 10 тонн, 12340000 рублей
Творог, Аргентина, 5 тонн, 500000 рублей
Петрушка, Венгрия, 15 тонн, 7050000 рублей
рыба, Китай, 50 тонн, 1000000 рублей
зерно, Австрия, 15 тонн, 1000000 рублей
Молоко детское, Австрия, 10 тонн, 14850000 рублей
Кефир, США, 15 тонн, 1000000 рублей
Масло сливочное, Венгрия, 15 тонн, 1000000 рублей
Сыр, Венгрия, 15 тонн, 500000 рублей
Масло растительное, Венгрия, 1 тонна, 1000000 рублей
Детское питание 7 банок, Китай, 30 тонн, 1000000 рублей
Консервированный горошек, Австралия, 15 тонн, 500000 рублей
Сыр, Венгрия, 20 тонн, 500000 рублей
Суповой набор мясной, США, 15 тонн, 500000 рублей
Сыр, Венгрия, 30 тонн, 14850000 рублей
Молоко детское, Венгрия, 1 тонна, 7050000 рублей
Картофель, Австрия, 50 тонн, 7050000 рублей
Лимон, Германия, 50 тонн, 1000000 рублей
шоколад, Аргентина, 10 тонн, 12340000 рублей
груши, США, 20 тонн, 1000000 рублей
Сметана, Китай, 20 тонн, 500000 рублей
Фрикадельки (домашний полуфабрикат), Китай, 10 тонн, 7050000 рублей
хлеб, Германия, 10 тонн, 7050000 рублей
Чеснок, США, 15 тонн, 1000000 рублей
Детское питание 7 банок, Аргентина, 20 тонн, 500000 рублей
Петрушка, Перу, 50 тонн, 7050000 рублей
Детское питание 7 банок, Венгрия, 5 тонн, 1000000 рублей
Масло сливочное, Германия, 30 тонн, 7050000 рублей
Петрушка, Австрия, 5 тонн, 1250000 рублей
Картофель, Австрия, 1 тонна, 14850000 рублей
Панировочные сухари, США, 20 тонн, 14850000 рублей
хлеб, США, 30 тонн, 14850000 рублей
Масло сливочное, Германия, 20 тонн, 14850000 рублей
Курица (бедра или окорочка), Австралия, 2 тонны, 14850000 рублей
Морковь, Перу, 30 тонн, 14850000 рублей
Кефир, Австрия, 50 тонн, 500000 рублей
Картофель, Перу, 30 тонн, 1250000 рублей
Кошачий корм, Венгрия, 50 тонн, 1250000 рублей
Масло растительное, Австрия, 1 тонна, 14850000 рублей
Сыр, Австрия, 15 тонн, 500000 рублей
Сахар коричневый, Австралия, 10 тонн, 1000000 рублей
шоколад, Венгрия, 10 тонн, 7050000 рублей
Молоко детское, Австралия, 20 тонн, 12340000 рублей
