Баллончик со сливками, Венгрия, 1 тонна, 14850000 рублей
зерно, Германия, 20 тонн, 14850000 рублей
Кошачий корм, Австрия, 15 тонн, 1250000 рублей
Фрикадельки (домашний полуфабрикат), Аргентина, 5 тонн, 14850000 рублей
Фрикадельки (домашний полуфабрикат), Перу, 20 тонн, 1250000 рублей
шоколад, Австралия, 30 тонн, 14850000 рублей
Картофель, США, 5 тонн, 1250000 рублей
Детское питание 7 банок, Германия, 30 тонн, 1250000 рублей
Малиновое варенье, Австрия, 30 тонн, 12340000 рублей
Малиновое варенье, Германия, 30 тонн, 7050000 рублей
Малиновое варенье, Германия, 20 тонн, 12340000 рублей
Творог, Венгрия, 15 тонн, 1250000 рублей
Сгущенка, Австралия, 30 тонн, 7050000 рублей
Рыбная консерва, Германия, 15 тонн, 1000000 рублей
груши, Австрия, 15 тонн, 12340000 рублей
Творог, Аргентина, 30 тонн, 1000000 рублей
Сгущенка, Аргентина, 1 тонна, 12340000 рублей
Молоко детское, Перу, 5 тонн, 7050000 рублей
Масло сливочное, Китай, 15 тонн, 14850000 рублей
Морковь, Аргентина, 20 тонн, 12340000 рублей
Сыр, Китай, 1 тонна, 1250000 рублей
Масло растительное, Китай, 15 тонн, 1250000 рублей
Малиновое варенье, Аргентина, 30 тонн, 1000000 рублей
рыба, Австралия, 2 тонны, 14850000 рублей
Сыр, Китай, 1 тонна, 14850000 рублей
Детское питание 7 банок, Германия, 5 тонн, 7050000 рублей
Масло растительное, Австрия, 10 тонн, 14850000 рублей
Консервированный горошек, Германия, 50 тонн, 1250000 рублей
рыба, США, 15 тонн, 1250000 рублей
шоколад, Аргентина, 10 тонн, 7050000 рублей
Консервированная кукуруза, Китай, 15 тонн, 12340000 рублей
Фрикадельки (домашний полуфабрикат), Венгрия, 2 тонны, 14850000 рублей
Сметана, Китай, 15 тонн, 1250000 рублей
Консервированный горошек, Перу, 30 тонн, 7050000 рублей
Панировочные сухари, Венгрия, 2 тонны, 1000000 рублей
Курица (бедра или окорочка), Австрия, 30 тонн, 1000000 рублей
Стручковая фасоль, США, 30 тонн, 1250000 рублей
